plant_id,common_name,common_disease_1,common_disease_2,common_disease_3,fungal_risk,bacterial_risk,viral_risk,root_rot_risk,stem_rot_risk,leaf_spot_risk,powdery_mildew_risk,pest_risk,disease_prevention,disease_treatment
1,Money Plant,Root Rot (Pythium/Phytophthora),Leaf Spot (Phytophthora/Alternaria),Bacterial Leaf Blight,Moderate,Low,Low,High,Moderate,Low,Low,Moderate (spider mites / mealybugs / scale),Avoid overwatering; ensure well-draining soil; maintain good air circulation; wipe leaves regularly to remove dust and pests,Remove affected leaves/roots; apply fungicide for fungal issues; neem oil for pests; repot in fresh well-draining mix if root rot detected
2,Monstera,Root Rot (Pythium/Phytophthora),Leaf Spot (Cercospora/Colletotrichum),Bacterial Leaf Blight (Erwinia),Moderate,Moderate,Low,Moderate,Low,Moderate,Low,Moderate (spider mites / mealybugs / thrips / scale),Avoid overwatering; ensure well-draining soil; avoid wetting foliage; maintain good air circulation; wipe leaves regularly,Remove affected leaves; apply copper fungicide for fungal/bacterial leaf spot; neem oil for pests; repot in fresh mix if root rot detected
3,Rubber Plant,Root Rot (Pythium/Phytophthora),Leaf Spot (Xanthomonas/Alternaria),Anthracnose (Colletotrichum),Moderate,Moderate,Low,High,Moderate,Moderate,Low,Moderate (spider mites / mealybugs / scale / thrips),Avoid overwatering; ensure well-draining soil; avoid wetting foliage; maintain good air circulation; allow soil to partially dry between waterings,Remove affected leaves; apply copper fungicide for fungal/bacterial issues; neem oil for pests; repot with fresh well-draining mix if root rot detected
4,Dieffenbachia,Root Rot (Pythium/Phytophthora),Bacterial Leaf Blight (Erwinia/Xanthomonas),Dasheen Mosaic Virus (DsMV),Moderate,High,Moderate,High,High,Moderate,Low,Moderate (spider mites / mealybugs / aphids / scale),Avoid overwatering; ensure well-draining soil; avoid wetting foliage; quarantine new plants; use sterile tools when cutting; maintain good air circulation,Remove affected leaves/cane sections; apply copper fungicide for bacterial issues; neem oil for pests; no cure for viral infection — remove and destroy affected plants; repot in fresh mix if root rot detected
5,Aglaonema,Root Rot (Pythium/Phytophthora),Bacterial Leaf Blight (Pseudomonas/Erwinia),Myrothecium Leaf Spot,Moderate,Moderate,Low,High,Moderate,Moderate,Low,Moderate (spider mites / mealybugs / scale / aphids),Avoid overwatering; ensure well-draining soil; avoid wetting foliage; maintain good air circulation; use sterile tools,Remove affected leaves; apply copper fungicide for bacterial/fungal issues; neem oil for pests; repot in fresh well-draining mix if root rot detected
6,Syngonium,Root Rot (Pythium/Phytophthora),Bacterial Blight (Xanthomonas),Dasheen Mosaic Virus (DsMV),Moderate,Moderate,Moderate,High,Moderate,Moderate,Low,Moderate (spider mites / mealybugs / aphids / scale),Avoid overwatering; ensure well-draining soil; avoid wetting foliage; quarantine new plants; maintain good air circulation,Remove affected leaves; apply copper fungicide for bacterial/fungal issues; neem oil for pests; no cure for viral infection — remove and destroy affected plants; repot in fresh mix if root rot detected
7,Rose,Black Spot (Diplocarpon rosae),Powdery Mildew (Podosphaera pannosa),Rose Rust (Phragmidium mucronatum),Very High,Moderate (Crown Gall — Agrobacterium tumefaciens),Low to Moderate (Rose Mosaic Virus),Moderate,Moderate (Botrytis/grey mold),Very High,Very High,Very High (aphids / thrips / spider mites / rose chafer beetles / whiteflies / scale),Ensure good air circulation; avoid overhead watering; water at base only; remove fallen leaves promptly; use disease-resistant varieties; regular preventive fungicide spray; mulch to prevent soil splash onto leaves,Remove and destroy affected leaves (do not compost); apply copper or sulfur fungicide for black spot/rust; apply potassium bicarbonate or sulfur for powdery mildew; neem oil or insecticidal soap for pests
8,Hibiscus,Leaf Spot (Cercospora/Colletotrichum),Powdery Mildew (Oidium sp.),Hibiscus Chlorotic Ringspot Virus (HCRV),Moderate to High,Low,Moderate,Moderate,Low,High,Moderate,High (whiteflies / aphids / spider mites / mealybugs / thrips),Ensure good air circulation; avoid overhead watering; water at base; maintain adequate nutrition; control pest vectors that spread viral diseases,Remove affected leaves; apply copper fungicide for leaf spot; sulfur or potassium bicarbonate for powdery mildew; neem oil or insecticidal soap for pests; no cure for viral infection — remove and destroy affected plants
9,Mogra,Leaf Blight (Alternaria/Cercospora),Powdery Mildew (Oidium jasmini),Root Rot (Pythium/Phytophthora),Moderate to High,Low,Low,Moderate,Low,Moderate,Moderate to High,Moderate (whiteflies / mealybugs / aphids / spider mites),Ensure good air circulation; avoid overhead watering; avoid waterlogging; prune regularly to maintain open plant structure; control pest vectors,Remove affected leaves; apply sulfur or potassium bicarbonate for powdery mildew; copper fungicide for leaf blight; neem oil for pests; ensure well-draining soil if root rot suspected
10,Croton,Root Rot (Pythium/Phytophthora),Anthracnose (Colletotrichum),Stem Rot (Fusarium),Moderate,Low,Low,High,Moderate,Moderate,Low,Very High (spider mites are a major pest especially in low humidity / also mealybugs / scale / thrips),Maintain high humidity to deter spider mites; ensure well-draining soil; avoid overwatering; ensure good air circulation; inspect regularly for early pest detection,Apply neem oil or insecticidal soap for spider mites and other pests; increase humidity; apply copper fungicide for anthracnose; repot in fresh well-draining mix if root rot detected
11,Curry Leaf,Leaf Spot (Cercospora/Colletotrichum),Root Rot (Pythium/Phytophthora),Citrus Psyllid Disease (Diaphorina citri vector),Moderate,Moderate,Low,Moderate,Low,Moderate,Low,Moderate (citrus psyllid / aphids / whiteflies / mealybugs / scale),Ensure well-draining soil; avoid overwatering; control citrus psyllid with regular inspection and neem oil; ensure good air circulation; avoid waterlogging,Apply copper fungicide for leaf spot; neem oil for pests especially citrus psyllid; repot in fresh well-draining mix if root rot detected; remove and destroy heavily affected branches
12,Tulsi,Powdery Mildew (Erysiphe cichoracearum),Leaf Spot (Alternaria/Cercospora),Root Rot (Pythium/Phytophthora),Moderate to High,Low,Low,Moderate,Low,Moderate,High,Low to Moderate (aphids / spider mites / whiteflies — generally resistant due to aromatic oils),Ensure good air circulation; avoid overhead watering; pinch flower heads regularly to keep plant bushy and reduce mildew risk; avoid waterlogging; plant in full sun,Apply sulfur or potassium bicarbonate for powdery mildew; copper fungicide for leaf spot; neem oil for pests; ensure well-draining soil if root rot suspected
13,Aloe Vera,Root Rot (Pythium/Phytophthora),Basal Stem Rot (Fusarium),Aloe Rust (Phakopsora pachyrhizi),Moderate (mostly root/basal rot from overwatering),Low,Low,Very High,High,Low,Very Low,Low to Moderate (mealybugs in leaf crevices / scale / aloe mites),Use well-draining gritty soil; avoid overwatering; ensure pot has drainage holes; allow soil to dry completely between waterings; avoid water sitting in leaf rosette center,Remove affected roots and leaves; repot in fresh gritty well-draining mix; allow to dry out before rewatering if rot detected; apply neem oil for mealybugs and scale; no recovery possible once severe root rot has set in
