plant_id,common_name,ideal_sensor_moisture_min,ideal_sensor_moisture_max,ideal_sensor_temp_min,ideal_sensor_temp_max,ideal_sensor_humidity_min,ideal_sensor_humidity_max,ideal_sensor_light_min,ideal_sensor_light_max,warning_moisture_low,warning_moisture_high,warning_temp_low,warning_temp_high,warning_humidity_low,warning_humidity_high,sensor_interpretation_note
1,Money Plant,35,65,16,32,45,75,900,11000,25,75,11,37,25,90,Ideal and warning ranges include ±5% moisture / ±2°C temp / ±5% humidity / ±10% light buffer for sensor variance; do not trigger alerts on a single reading — use average of 3 consecutive readings taken 10 minutes apart to confirm threshold breach
2,Monstera,45,75,16,32,55,85,900,11000,30,85,10,37,35,95,Ideal and warning ranges include ±5% moisture / ±2°C temp / ±5% humidity / ±10% light buffer for sensor variance; light readings below 900 lux sustained for 3+ days should trigger alert as new leaves will not develop fenestrations
3,Rubber Plant,35,65,13,32,35,65,1800,16500,20,75,10,37,20,80,Ideal and warning ranges include ±5% moisture / ±2°C temp / ±5% humidity / ±10% light buffer for sensor variance; moisture readings above 75% for more than 3 averaged readings indicate overwatering risk; avoid reacting to single spike readings
4,Dieffenbachia,45,75,16,32,55,85,450,8800,25,85,12,37,35,95,Ideal and warning ranges include ±5% moisture / ±2°C temp / ±5% humidity / ±10% light buffer for sensor variance; humidity readings consistently above 90% averaged over 3+ readings should trigger airflow alert due to high bacterial disease risk
5,Aglaonema,35,65,16,32,45,75,450,8800,20,75,13,37,25,90,Ideal and warning ranges include ±5% moisture / ±2°C temp / ±5% humidity / ±10% light buffer for sensor variance; most tolerant plant on the list — only trigger alert if averaged readings stay outside warning range for 5+ consecutive readings
6,Syngonium,45,75,16,32,45,75,450,8800,25,85,10,37,25,90,Ideal and warning ranges include ±5% moisture / ±2°C temp / ±5% humidity / ±10% light buffer for sensor variance; leaf shape change from arrow to lobed is a maturity sign not a stress indicator — do not use leaf shape as a sensor trigger
7,Rose,45,75,13,30,35,65,18000,66000,25,85,3,37,20,80,Ideal and warning ranges include ±5% moisture / ±2°C temp / ±5% humidity / ±10% light buffer for sensor variance; humidity averaged above 70% combined with averaged light below 18000 lux is a combined fungal disease risk alert — both conditions together are more critical than either alone
8,Hibiscus,45,75,16,37,45,75,18000,66000,25,85,10,42,25,90,Ideal and warning ranges include ±5% moisture / ±2°C temp / ±5% humidity / ±10% light buffer for sensor variance; averaged moisture below 25% in summer months combined with temp above 35°C is a critical combined bud drop alert — requires immediate watering action
9,Mogra,35,65,16,37,45,75,13500,55000,20,80,10,42,25,85,Ideal and warning ranges include ±5% moisture / ±2°C temp / ±5% humidity / ±10% light buffer for sensor variance; humidity averaged above 80% with light below 13500 lux is a powdery mildew combined risk alert; moisture above 80% for 3+ averaged readings indicates waterlogging
10,Croton,45,75,16,37,45,75,9000,55000,25,85,12,42,35,90,Ideal and warning ranges include ±5% moisture / ±2°C temp / ±5% humidity / ±10% light buffer for sensor variance; humidity averaged below 35% is the most critical alert for Croton — spider mite risk; light averaged below 9000 lux will cause leaf color fading to green
11,Curry Leaf,35,65,16,37,35,75,18000,66000,15,75,6,42,20,90,Ideal and warning ranges include ±5% moisture / ±2°C temp / ±5% humidity / ±10% light buffer for sensor variance; temperature averaged below 6°C is a critical dormancy/leaf drop alert; moisture averaged above 75% for 3+ readings is a root rot risk
12,Tulsi,35,65,18,37,35,75,18000,66000,15,80,10,42,20,85,Ideal and warning ranges include ±5% moisture / ±2°C temp / ±5% humidity / ±10% light buffer for sensor variance; humidity averaged above 80% with poor airflow is a powdery mildew alert; temp averaged above 37°C for multiple readings will trigger premature bolting alert
13,Aloe Vera,15,45,13,37,15,55,9000,55000,5,55,3,42,5,70,Ideal and warning ranges include ±5% moisture / ±2°C temp / ±5% humidity / ±10% light buffer for sensor variance; moisture averaged above 55% is a critical overwatering alert unique to Aloe — do not water again until averaged moisture reading drops below 15%; this is the lowest moisture threshold of all plants in this dataset
